구분,유저,챗봇,
객실/예약,예약 후 당일 취소가 가능한가요?,당일 취소 및 변경은 불가하며 예약 후 사용예정일(체크인 기준)에 따른 위약금이 부과 됩니다.,
객실/예약,객실 내 넷플릭스 시청이 가능한가요?,객실 내 스마트 TV가 설치되어 넷플리스 등 OTT 서비스 이용이 가능합니다.,
객실/예약,객실 내 어메니티가 따로 제공되나요?,샴푸와 바디워시 및 일회용 칫솔과 비누를 제공하고 있습니다.,
객실/예약,객실 내 외부 음식 반입이 가능한가요?,외부 음식 반입은 금지되어 있으니 양해 부탁드립니다.,
객실/예약,예약을 취소하고 싶은데 어떻게 해야하나요?,당일 취소가 아니라면 관리자와의 채팅을 통해 예약 취소를 문의할 수 있습니다.,
객실/예약,결제한 예약을 취소했는데 언제 환불을 받을 수 있나요?,일반적으로 취소 요청 접수 날짜로부터 7~10일 영업일 사이에 신용카드 취소가 완료됩니다. 계좌이체 혹은 무통장 입금의 경우 취소 접수 날짜로부터 익일 환불요청 계좌로 입금 완료 됩니다.,
객실/예약,객실에 두고 온 분실물은 어떻게 찾나요?,호텔 관리자에게 묵었던 객실과 날짜를 말씀해주시면 됩니다. 그 외 연락이 없을 경우 규정에 따라 3개월 보관 후 폐기합니다.,
객실/예약,외부 배달 음식을 주문해도 되나요?,호텔 규정 상 외부 배달 음식은 주문하실 수 없습니다.,
객실/예약,객실 내 별도의 장식이 가능한가요?,외부업체 이용은 불가능하며 호텔 내 플라워 및 기프트 서비스가 준비되어 있습니다.,
객실/예약,현재 예약을 다른 객실로 변경할 수 있나요?,관리자와의 채팅을 통해 객실 변경을 문의할 수 있으나 특별한 사유가 없을 경우 변경이 어려울 수 있습니다.,
객실/예약,동물을 객실에 데려올 수 있나요?,장애인 복지법에 따른 보조견을 제외한 반려동물은 객실 및 호텔 내 모든 공용 시설에 입장이 불가합니다.,
객실/예약,객실 내 반입할 수 없는 물품이나 금지 품목이 있나요?,가연성이나 폭발성 또는 인화성이 강한 유해 물품과 국내법에 저촉되는 물품은 반입이 금지되어 있습니다.,
시설,근처에 편의점이 있나요?,호텔 1층에 스낵바가 위치 해 있으며 호텔 외부 맞은편 5분 거리에 편의점을 찾아보실 수 있습니다.,
시설,주차 시설은 비용이 어떻게 되나요?,투숙객의 경우 숙박일에 한하여 무료주차가 가능합니다. 투숙객이 아니라면 1일 1만원의 요금이 발생됩니다.,
시설,호텔 내 지하주차장이 있나요?,지하 1층에서 2층에 주차 가능합니다.,
시설,흡연실이 따로 존재하나요?,각 층마다 흡연실이 따로 존재하며 흡연실 외 구역에서는 흡연이 금지되어 있습니다.,
시설,호텔 내 세탁 공간이 있나요?,호텔 4층에 투숙객 전용 세탁기와 건조기가 비치되어 있으며 24시간 이용 가능합니다.,
시설,호텔 내에서 인터넷 사용이 가능한가요?,호텔 전 객실과 시설에서 무선 인터넷 사용이 무료로 가능합니다.,
시설,유아용 침대가 있나요?,요청에 따라 유아용 침대를 제공해드립니다.,
시설,자동 판매기나 제빙기가 있나요?,홀수층마다 비치되어 있으며 자동 판매기에서 음료나 스낵을 구매하실 수 있습니다.,
시설,근처에 은행이나 ATM 이 있나요?,호텔 5분 거리에 은행과 ATM 이 위치해 있습니다.,
시설,호텔 내에서 어떤 종류의 시설을 이용할 수 있나요?,사우나 및 수영장을 이용할 수 있습니다.,
시설,호텔 내부 시설은 사용 전 예약을 해야 하나요?,별도의 예약 없이 이용 가능하며 투숙객에 한하여 무료로 제공됩니다.,
시설,컴퓨터나 프린터를 무료로 사용가능한가요?,컴퓨터는 3층 라운지에 비치되어 무료로 사용 가능합니다. 프린트는 컬러 1장 1100원 / 흑백 1장 550원의 이용료로 사용 가능합니다.,
시설,호텔까지 픽업해주는 셔틀이 따로 존재하나요?,픽업 차량은 따로 존재하지 않습니다.,
시설,귀중품을 따로 보관할 수 있는 장소가 있나요?,귀중품은 객실 내 옷장에 비치되어 있는 금고에 보관해 주시기 바랍니다.,
시설,객실 내 헤어드라이어가 있나요?,전 객실에 헤어드라이어가 비치되어있습니다.,
시설,객실 내 에어컨이 있나요?,전 객실에 에어컨이 비치되어있습니다.,
다이닝,알레르기나 종교상의 이유로 메뉴에서 특정 재료를 빼고 주문할 수 있을까요?,주문 시 미리 요청주시면 요구사항에 맞추어 조리합니다. 미리 요청주시지 않았을 경우는 불가능합니다.,
다이닝,룸서비스 운영시간이 어떻게 되나요?,조식 메뉴는 6:30~12:00 동안 이용 가능합니다. 그 외 단품 메뉴의 경우 상시 주문 가능하며 라스트 오더는 24:30 입니다.,
다이닝,룸서비스를 주문하면 음식이 올 때까지 얼마나 걸리나요?,주문 접수 시간으로부터 1시간 이내 받아보실 수 있으나 주문량이 집중되는 시간대의 경우 다소 지연될 수 있는 점 양해 부탁드립니다.,
다이닝,룸서비스 이용 금액은 어떻게 결제하나요?,현금이나 카드로 현장 결제가 가능합니다.,
다이닝,음료나 식사 외에 디저트 메뉴도 판매하나요?,라운지에서 다양한 종류의 음료와 간단한 스낵 메뉴를 즐길 수 있습니다. 더불어 다양한 종류의 케이크와 델리가 준비되어 있습니다.,
다이닝,비건 메뉴가 따로 제공되나요?,메뉴 중 베지테리언을 위한 식단을 따로 제공하고 있습니다.,
다이닝,식사 가능한 독립된 공간이 따로 있나요?,예약을 통해 사용 가능한 프라이빗 다이닝 룸이 존재하며 8명까지 이용 가능합니다.,
다이닝,레스토랑 단체 예약이 가능한가요?,레스토랑 150석으로 수용 인원 내의 규모에서 단체 예약이 가능합니다.,
미팅/연회,돌잔치 행사 시 연회장 이용시간은 최대 몇시간까지 가능한가요?,예약 스케줄에 따라 유동적으로 변경 될 수 있으나 보통은 3~4시간을 기준으로 하고 있습니다.,
미팅/연회,파우더룸이 따로 준비되어 있나요?,행사 상황에 따라 대기실을 제공해 드리고 있습니다. 대기실 내에는 전신거울 및 헹거와 옷걸이가 준비되어 있습니다.,
